uid,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
649bc5d39b21a1b93e0985a3,Adelie,Torgersen,39.1,18.7,181,3750,MALE
649bc5d39b21a1b93e0985a4,Adelie,Torgersen,39.5,17.4,186,3800,FEMALE
649bc5d39b21a1b93e0985a5,Adelie,Torgersen,40.3,18,195,3250,FEMALE
649bc5d39b21a1b93e0985a7,Adelie,Torgersen,36.7,19.3,193,3450,FEMALE
649bc5d39b21a1b93e0985a8,Adelie,Torgersen,39.3,20.6,190,3650,MALE
649bc5d39b21a1b93e0985a9,Adelie,Torgersen,38.9,17.8,181,3625,FEMALE
649bc5d39b21a1b93e0985aa,Adelie,Torgersen,39.2,19.6,195,4675,MALE
649bc5d39b21a1b93e0985ab,Adelie,Torgersen,34.1,18.1,193,3475,MALE
649bc5d39b21a1b93e0985ac,Adelie,Torgersen,42,20.2,190,4250,MALE
649bc5d39b21a1b93e0985ad,Adelie,Torgersen,37.8,17.1,186,3300,MALE
649bc5d39b21a1b93e0985ae,Adelie,Torgersen,37.8,17.3,180,3700,MALE
649bc5d39b21a1b93e0985af,Adelie,Torgersen,41.1,17.6,182,3200,FEMALE
649bc5d39b21a1b93e0985b0,Adelie,Torgersen,38.6,21.2,191,3800,MALE
649bc5d39b21a1b93e0985b1,Adelie,Torgersen,34.6,21.1,198,4400,MALE
649bc5d39b21a1b93e0985b2,Adelie,Torgersen,36.6,17.8,185,3700,FEMALE
649bc5d39b21a1b93e0985b3,Adelie,Torgersen,38.7,19,195,3450,FEMALE
649bc5d39b21a1b93e0985b4,Adelie,Torgersen,42.5,20.7,197,4500,MALE
649bc5d39b21a1b93e0985b5,Adelie,Torgersen,34.4,18.4,184,3325,FEMALE
649bc5d39b21a1b93e0985b6,Adelie,Torgersen,46,21.5,194,4200,MALE
649bc5d39b21a1b93e0985b7,Adelie,Biscoe,37.8,18.3,174,3400,FEMALE
649bc5d39b21a1b93e0985b8,Adelie,Biscoe,37.7,18.7,180,3600,MALE
649bc5d39b21a1b93e0985b9,Adelie,Biscoe,35.9,19.2,189,3800,FEMALE
649bc5d39b21a1b93e0985ba,Adelie,Biscoe,38.2,18.1,185,3950,MALE
649bc5d39b21a1b93e0985bb,Adelie,Biscoe,38.8,17.2,180,3800,MALE
649bc5d39b21a1b93e0985bc,Adelie,Biscoe,35.3,18.9,187,3800,FEMALE
