,uid,species,island,sex
0,649bc5d39b21a1b93e0985a3,Adelie,Torgersen,MALE
1,649bc5d39b21a1b93e0985a4,Adelie,Torgersen,FEMALE
2,649bc5d39b21a1b93e0985a5,Adelie,Torgersen,FEMALE
3,649bc5d39b21a1b93e0985a7,Adelie,Torgersen,FEMALE
4,649bc5d39b21a1b93e0985a8,Adelie,Torgersen,MALE
5,649bc5d39b21a1b93e0985a9,Adelie,Torgersen,FEMALE
6,649bc5d39b21a1b93e0985aa,Adelie,Torgersen,MALE
7,649bc5d39b21a1b93e0985ab,Adelie,Torgersen,MALE
8,649bc5d39b21a1b93e0985ac,Adelie,Torgersen,MALE
9,649bc5d39b21a1b93e0985ad,Adelie,Torgersen,MALE
10,649bc5d39b21a1b93e0985ae,Adelie,Torgersen,MALE
11,649bc5d39b21a1b93e0985af,Adelie,Torgersen,FEMALE
12,649bc5d39b21a1b93e0985b0,Adelie,Torgersen,MALE
13,649bc5d39b21a1b93e0985b1,Adelie,Torgersen,MALE
14,649bc5d39b21a1b93e0985b2,Adelie,Torgersen,FEMALE
15,649bc5d39b21a1b93e0985b3,Adelie,Torgersen,FEMALE
16,649bc5d39b21a1b93e0985b4,Adelie,Torgersen,MALE
17,649bc5d39b21a1b93e0985b5,Adelie,Torgersen,FEMALE
18,649bc5d39b21a1b93e0985b6,Adelie,Torgersen,MALE
19,649bc5d39b21a1b93e0985b7,Adelie,Biscoe,FEMALE
20,649bc5d39b21a1b93e0985b8,Adelie,Biscoe,MALE
21,649bc5d39b21a1b93e0985b9,Adelie,Biscoe,FEMALE
22,649bc5d39b21a1b93e0985ba,Adelie,Biscoe,MALE
23,649bc5d39b21a1b93e0985bb,Adelie,Biscoe,MALE
24,649bc5d39b21a1b93e0985bc,Adelie,Biscoe,FEMALE
25,649bc5d39b21a1b93e0985bd,Adelie,Biscoe,MALE
26,649bc5d39b21a1b93e0985be,Adelie,Biscoe,FEMALE
27,649bc5d39b21a1b93e0985bf,Adelie,Biscoe,FEMALE
28,649bc5d39b21a1b93e0985c0,Adelie,Biscoe,MALE
29,649bc5d39b21a1b93e0985c1,Adelie,Dream,FEMALE
30,649bc5d39b21a1b93e0985c2,Adelie,Dream,MALE
31,649bc5d39b21a1b93e0985c3,Adelie,Dream,FEMALE
32,649bc5d39b21a1b93e0985c4,Adelie,Dream,MALE
33,649bc5d39b21a1b93e0985c5,Adelie,Dream,FEMALE
34,649bc5d39b21a1b93e0985c6,Adelie,Dream,MALE
35,649bc5d39b21a1b93e0985c7,Adelie,Dream,MALE
36,649bc5d39b21a1b93e0985c8,Adelie,Dream,FEMALE
37,649bc5d39b21a1b93e0985c9,Adelie,Dream,FEMALE
38,649bc5d39b21a1b93e0985ca,Adelie,Dream,MALE
