,uid,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
0,649bc5d39b21a1b93e0985a3,39.1,18.7,181,3750
1,649bc5d39b21a1b93e0985a4,39.5,17.4,186,3800
2,649bc5d39b21a1b93e0985a5,40.3,18.0,195,3250
3,649bc5d39b21a1b93e0985a7,36.7,19.3,193,3450
4,649bc5d39b21a1b93e0985a8,39.3,20.6,190,3650
5,649bc5d39b21a1b93e0985a9,38.9,17.8,181,3625
6,649bc5d39b21a1b93e0985aa,39.2,19.6,195,4675
7,649bc5d39b21a1b93e0985ab,34.1,18.1,193,3475
8,649bc5d39b21a1b93e0985ac,42.0,20.2,190,4250
9,649bc5d39b21a1b93e0985ad,37.8,17.1,186,3300
10,649bc5d39b21a1b93e0985ae,37.8,17.3,180,3700
11,649bc5d39b21a1b93e0985af,41.1,17.6,182,3200
12,649bc5d39b21a1b93e0985b0,38.6,21.2,191,3800
13,649bc5d39b21a1b93e0985b1,34.6,21.1,198,4400
14,649bc5d39b21a1b93e0985b2,36.6,17.8,185,3700
15,649bc5d39b21a1b93e0985b3,38.7,19.0,195,3450
16,649bc5d39b21a1b93e0985b4,42.5,20.7,197,4500
17,649bc5d39b21a1b93e0985b5,34.4,18.4,184,3325
18,649bc5d39b21a1b93e0985b6,46.0,21.5,194,4200
19,649bc5d39b21a1b93e0985b7,37.8,18.3,174,3400
20,649bc5d39b21a1b93e0985b8,37.7,18.7,180,3600
21,649bc5d39b21a1b93e0985b9,35.9,19.2,189,3800
22,649bc5d39b21a1b93e0985ba,38.2,18.1,185,3950
23,649bc5d39b21a1b93e0985bb,38.8,17.2,180,3800
24,649bc5d39b21a1b93e0985bc,35.3,18.9,187,3800
25,649bc5d39b21a1b93e0985bd,40.6,18.6,183,3550
26,649bc5d39b21a1b93e0985be,40.5,17.9,187,3200
27,649bc5d39b21a1b93e0985bf,37.9,18.6,172,3150
28,649bc5d39b21a1b93e0985c0,40.5,18.9,180,3950
29,649bc5d39b21a1b93e0985c1,39.5,16.7,178,3250
30,649bc5d39b21a1b93e0985c2,37.2,18.1,178,3900
31,649bc5d39b21a1b93e0985c3,39.5,17.8,188,3300
32,649bc5d39b21a1b93e0985c4,40.9,18.9,184,3900
33,649bc5d39b21a1b93e0985c5,36.4,17.0,195,3325
34,649bc5d39b21a1b93e0985c6,39.2,21.1,196,4150
35,649bc5d39b21a1b93e0985c7,38.8,20.0,190,3950
36,649bc5d39b21a1b93e0985c8,42.2,18.5,180,3550
37,649bc5d39b21a1b93e0985c9,37.6,19.3,181,3300
38,649bc5d39b21a1b93e0985ca,39.8,19.1,184,4650
39,649bc5d39b21a1b93e0985cb,36.5,18.0,182,3150
40,649bc5d39b21a1b93e0985cc,40.8,18.4,195,3900
41,649bc5d39b21a1b93e0985cd,36.0,18.5,186,3100
42,649bc5d39b21a1b93e0985ce,44.1,19.7,196,4400
43,649bc5d39b21a1b93e0985cf,37.0,16.9,185,3000
44,649bc5d39b21a1b93e0985d0,39.6,18.8,190,4600
45,649bc5d39b21a1b93e0985d1,41.1,19.0,182,3425
46,649bc5d39b21a1b93e0985d2,37.5,18.9,179,2975
47,649bc5d39b21a1b93e0985d3,36.0,17.9,190,3450
48,649bc5d39b21a1b93e0985d4,42.3,21.2,191,4150
49,649bc5d39b21a1b93e0985d5,39.6,17.7,186,3500
50,649bc5d39b21a1b93e0985d6,40.1,18.9,188,4300
51,649bc5d39b21a1b93e0985d7,35.0,17.9,190,3450
52,649bc5d39b21a1b93e0985d8,42.0,19.5,200,4050
53,649bc5d39b21a1b93e0985d9,34.5,18.1,187,2900
54,649bc5d39b21a1b93e0985da,41.4,18.6,191,3700
55,649bc5d39b21a1b93e0985db,39.0,17.5,186,3550
56,649bc5d39b21a1b93e0985dc,40.6,18.8,193,3800
57,649bc5d39b21a1b93e0985dd,36.5,16.6,181,2850
58,649bc5d39b21a1b93e0985de,37.6,19.1,194,3750
59,649bc5d39b21a1b93e0985df,35.7,16.9,185,3150
60,649bc5d39b21a1b93e0985e0,41.3,21.1,195,4400
61,649bc5d39b21a1b93e0985e1,37.6,17.0,185,3600
62,649bc5d39b21a1b93e0985e2,41.1,18.2,192,4050
63,649bc5d39b21a1b93e0985e3,36.4,17.1,184,2850
64,649bc5d39b21a1b93e0985e4,41.6,18.0,192,3950
65,649bc5d39b21a1b93e0985e5,35.5,16.2,195,3350
66,649bc5d39b21a1b93e0985e6,41.1,19.1,188,4100
67,649bc5d39b21a1b93e0985e7,35.9,16.6,190,3050
68,649bc5d39b21a1b93e0985e8,41.8,19.4,198,4450
69,649bc5d39b21a1b93e0985e9,33.5,19.0,190,3600
70,649bc5d39b21a1b93e0985ea,39.7,18.4,190,3900
71,649bc5d39b21a1b93e0985eb,39.6,17.2,196,3550
72,649bc5d39b21a1b93e0985ec,45.8,18.9,197,4150
73,649bc5d39b21a1b93e0985ed,35.5,17.5,190,3700
74,649bc5d39b21a1b93e0985ee,42.8,18.5,195,4250
75,649bc5d39b21a1b93e0985ef,40.9,16.8,191,3700
76,649bc5d39b21a1b93e0985f0,37.2,19.4,184,3900
77,649bc5d39b21a1b93e0985f1,36.2,16.1,187,3550
78,649bc5d39b21a1b93e0985f2,42.1,19.1,195,4000
79,649bc5d39b21a1b93e0985f3,34.6,17.2,189,3200
80,649bc5d39b21a1b93e0985f4,42.9,17.6,196,4700
81,649bc5d39b21a1b93e0985f5,36.7,18.8,187,3800
82,649bc5d39b21a1b93e0985f6,35.1,19.4,193,4200
83,649bc5d39b21a1b93e0985f7,37.3,17.8,191,3350
84,649bc5d39b21a1b93e0985f8,41.3,20.3,194,3550
85,649bc5d39b21a1b93e0985f9,36.3,19.5,190,3800
86,649bc5d39b21a1b93e0985fa,36.9,18.6,189,3500
87,649bc5d39b21a1b93e0985fb,38.3,19.2,189,3950
88,649bc5d39b21a1b93e0985fc,38.9,18.8,190,3600
89,649bc5d39b21a1b93e0985fd,35.7,18.0,202,3550
90,649bc5d39b21a1b93e0985fe,41.1,18.1,205,4300
91,649bc5d39b21a1b93e0985ff,34.0,17.1,185,3400
92,649bc5d39b21a1b93e098600,39.6,18.1,186,4450
93,649bc5d39b21a1b93e098601,36.2,17.3,187,3300
94,649bc5d39b21a1b93e098602,40.8,18.9,208,4300
95,649bc5d39b21a1b93e098603,38.1,18.6,190,3700
96,649bc5d39b21a1b93e098604,40.3,18.5,196,4350
97,649bc5d39b21a1b93e098605,33.1,16.1,178,2900
98,649bc5d39b21a1b93e098606,43.2,18.5,192,4100
99,649bc5d39b21a1b93e098607,35.0,17.9,192,3725
100,649bc5d39b21a1b93e098608,41.0,20.0,203,4725
101,649bc5d39b21a1b93e098609,37.7,16.0,183,3075
102,649bc5d39b21a1b93e09860a,37.8,20.0,190,4250
103,649bc5d39b21a1b93e09860b,37.9,18.6,193,2925
104,649bc5d39b21a1b93e09860c,39.7,18.9,184,3550
105,649bc5d39b21a1b93e09860d,38.6,17.2,199,3750
106,649bc5d39b21a1b93e09860e,38.2,20.0,190,3900
107,649bc5d39b21a1b93e09860f,38.1,17.0,181,3175
108,649bc5d39b21a1b93e098610,43.2,19.0,197,4775
109,649bc5d39b21a1b93e098611,38.1,16.5,198,3825
110,649bc5d39b21a1b93e098612,45.6,20.3,191,4600
111,649bc5d39b21a1b93e098613,39.7,17.7,193,3200
112,649bc5d39b21a1b93e098614,42.2,19.5,197,4275
113,649bc5d39b21a1b93e098615,39.6,20.7,191,3900
114,649bc5d39b21a1b93e098616,42.7,18.3,196,4075
115,649bc5d39b21a1b93e098617,38.6,17.0,188,2900
116,649bc5d39b21a1b93e098618,37.3,20.5,199,3775
117,649bc5d39b21a1b93e098619,35.7,17.0,189,3350
118,649bc5d39b21a1b93e09861a,41.1,18.6,189,3325
119,649bc5d39b21a1b93e09861b,36.2,17.2,187,3150
120,649bc5d39b21a1b93e09861c,37.7,19.8,198,3500
121,649bc5d39b21a1b93e09861d,40.2,17.0,176,3450
122,649bc5d39b21a1b93e09861e,41.4,18.5,202,3875
123,649bc5d39b21a1b93e09861f,35.2,15.9,186,3050
124,649bc5d39b21a1b93e098620,40.6,19.0,199,4000
125,649bc5d39b21a1b93e098621,38.8,17.6,191,3275
126,649bc5d39b21a1b93e098622,41.5,18.3,195,4300
127,649bc5d39b21a1b93e098623,39.0,17.1,191,3050
128,649bc5d39b21a1b93e098624,44.1,18.0,210,4000
129,649bc5d39b21a1b93e098625,38.5,17.9,190,3325
130,649bc5d39b21a1b93e098626,43.1,19.2,197,3500
131,649bc5d39b21a1b93e098627,36.8,18.5,193,3500
132,649bc5d39b21a1b93e098628,37.5,18.5,199,4475
133,649bc5d39b21a1b93e098629,38.1,17.6,187,3425
134,649bc5d39b21a1b93e09862a,41.1,17.5,190,3900
135,649bc5d39b21a1b93e09862b,35.6,17.5,191,3175
136,649bc5d39b21a1b93e09862c,40.2,20.1,200,3975
137,649bc5d39b21a1b93e09862d,37.0,16.5,185,3400
138,649bc5d39b21a1b93e09862e,39.7,17.9,193,4250
139,649bc5d39b21a1b93e09862f,40.2,17.1,193,3400
140,649bc5d39b21a1b93e098630,40.6,17.2,187,3475
141,649bc5d39b21a1b93e098631,32.1,15.5,188,3050
142,649bc5d39b21a1b93e098632,40.7,17.0,190,3725
143,649bc5d39b21a1b93e098633,37.3,16.8,192,3000
144,649bc5d39b21a1b93e098634,39.0,18.7,185,3650
145,649bc5d39b21a1b93e098635,39.2,18.6,190,4250
146,649bc5d39b21a1b93e098636,36.6,18.4,184,3475
147,649bc5d39b21a1b93e098637,36.0,17.8,195,3450
148,649bc5d39b21a1b93e098638,37.8,18.1,193,3750
149,649bc5d39b21a1b93e098639,36.0,17.1,187,3700
150,649bc5d39b21a1b93e09863a,41.5,18.5,201,4000
151,649bc5d39b21a1b93e09863b,46.5,17.9,192,3500
152,649bc5d39b21a1b93e09863c,50.0,19.5,196,3900
153,649bc5d39b21a1b93e09863d,51.3,19.2,193,3650
154,649bc5d39b21a1b93e09863e,45.4,18.7,188,3525
155,649bc5d39b21a1b93e09863f,52.7,19.8,197,3725
156,649bc5d39b21a1b93e098640,45.2,17.8,198,3950
157,649bc5d39b21a1b93e098641,46.1,18.2,178,3250
158,649bc5d39b21a1b93e098642,51.3,18.2,197,3750
159,649bc5d39b21a1b93e098643,46.0,18.9,195,4150
160,649bc5d39b21a1b93e098644,51.3,19.9,198,3700
161,649bc5d39b21a1b93e098645,46.6,17.8,193,3800
162,649bc5d39b21a1b93e098646,51.7,20.3,194,3775
163,649bc5d39b21a1b93e098647,47.0,17.3,185,3700
164,649bc5d39b21a1b93e098648,52.0,18.1,201,4050
165,649bc5d39b21a1b93e098649,45.9,17.1,190,3575
166,649bc5d39b21a1b93e09864a,50.5,19.6,201,4050
167,649bc5d39b21a1b93e09864b,50.3,20.0,197,3300
168,649bc5d39b21a1b93e09864c,58.0,17.8,181,3700
169,649bc5d39b21a1b93e09864d,46.4,18.6,190,3450
170,649bc5d39b21a1b93e09864e,49.2,18.2,195,4400
171,649bc5d39b21a1b93e09864f,42.4,17.3,181,3600
172,649bc5d39b21a1b93e098650,48.5,17.5,191,3400
173,649bc5d39b21a1b93e098651,43.2,16.6,187,2900
174,649bc5d39b21a1b93e098652,50.6,19.4,193,3800
175,649bc5d39b21a1b93e098653,46.7,17.9,195,3300
176,649bc5d39b21a1b93e098654,52.0,19.0,197,4150
177,649bc5d39b21a1b93e098655,50.5,18.4,200,3400
178,649bc5d39b21a1b93e098656,49.5,19.0,200,3800
179,649bc5d39b21a1b93e098657,46.4,17.8,191,3700
180,649bc5d39b21a1b93e098658,52.8,20.0,205,4550
